species,speccode,class,order,family
Acanthurus auranticavus,4748,Teleostei,Acanthuriformes,Acanthuridae
Acanthurus bariene,4307,Teleostei,Acanthuriformes,Acanthuridae
Acanthurus japonicus,23375,Teleostei,Acanthuriformes,Acanthuridae
Acanthurus lineatus,1258,Teleostei,Acanthuriformes,Acanthuridae
Acanthurus mata,1255,Teleostei,Acanthuriformes,Acanthuridae
Acanthurus nigricans,6011,Teleostei,Acanthuriformes,Acanthuridae
Acanthurus nigricauda,4747,Teleostei,Acanthuriformes,Acanthuridae
Acanthurus nigrofuscus,4739,Teleostei,Acanthuriformes,Acanthuridae
Acanthurus olivaceus,4744,Teleostei,Acanthuriformes,Acanthuridae
Acanthurus triostegus,1260,Teleostei,Acanthuriformes,Acanthuridae
Acanthurus xanthopterus,1261,Teleostei,Acanthuriformes,Acanthuridae
Ctenochaetus binotatus,6012,Teleostei,Acanthuriformes,Acanthuridae
Ctenochaetus cyanocheilus,59486,Teleostei,Acanthuriformes,Acanthuridae
Naso brachycentron,6020,Teleostei,Acanthuriformes,Acanthuridae
Naso brevirostris,6021,Teleostei,Acanthuriformes,Acanthuridae
Naso hexacanthus,1263,Teleostei,Acanthuriformes,Acanthuridae
Naso lituratus,1264,Teleostei,Acanthuriformes,Acanthuridae
Naso lopezi,6022,Teleostei,Acanthuriformes,Acanthuridae
Naso thynnoides,6932,Teleostei,Acanthuriformes,Acanthuridae
Naso tonganus,60076,Teleostei,Acanthuriformes,Acanthuridae
Naso unicornis,1265,Teleostei,Acanthuriformes,Acanthuridae
Naso vlamingii,6024,Teleostei,Acanthuriformes,Acanthuridae
Paracanthurus hepatus,6017,Teleostei,Acanthuriformes,Acanthuridae
Zebrasoma scopas,5951,Teleostei,Acanthuriformes,Acanthuridae
Zebrasoma velifer,1266,Teleostei,Acanthuriformes,Acanthuridae
Acropoma japonicum,1267,Teleostei,Acropomatiformes,Acropomatidae
Oryzias javanicus,12254,Teleostei,Beloniformes,Adrianichthyidae
Aetobatus ocellatus,12600,Elasmobranchii,Myliobatiformes,Aetobatidae
Clupisoma sinense,26739,Teleostei,Siluriformes,Ailiidae
Laides hexanema,16147,Teleostei,Siluriformes,Ailiidae
Acrochordonichthys falcifer,58361,Teleostei,Siluriformes,Akysidae
Acrochordonichthys pachyderma,58362,Teleostei,Siluriformes,Akysidae
Acrochordonichthys rugosus,23304,Teleostei,Siluriformes,Akysidae
Acrochordonichthys septentrionalis,58359,Teleostei,Siluriformes,Akysidae
Akysis hendricksoni,26974,Teleostei,Siluriformes,Akysidae
Akysis microps,58042,Teleostei,Siluriformes,Akysidae
Parakysis grandis,27401,Teleostei,Siluriformes,Akysidae
Parakysis longirostris,27402,Teleostei,Siluriformes,Akysidae
Parakysis verrucosus,23313,Teleostei,Siluriformes,Akysidae
Pseudobagarius alfredi,52534,Teleostei,Siluriformes,Akysidae
Albula vulpes,228,Teleostei,Albuliformes,Albulidae
Alopias pelagicus,5891,Elasmobranchii,Lamniformes,Alopiidae
Ambassis ambassis,61467,Teleostei,Ovalentaria/misc,Ambassidae
Ambassis buruensis,11783,Teleostei,Ovalentaria/misc,Ambassidae
Ambassis dussumieri,9899,Teleostei,Ovalentaria/misc,Ambassidae
Ambassis gymnocephalus,4806,Teleostei,Ovalentaria/misc,Ambassidae
Ambassis interrupta,5153,Teleostei,Ovalentaria/misc,Ambassidae
Ambassis miops,9234,Teleostei,Ovalentaria/misc,Ambassidae
Ambassis octava,71233,Teleostei,Ovalentaria/misc,Ambassidae
Ambassis urotaenia,9235,Teleostei,Ovalentaria/misc,Ambassidae
Chanda ranga,10130,Teleostei,Ovalentaria/misc,Ambassidae
Chanda siamensis,16164,Teleostei,Ovalentaria/misc,Ambassidae
Gymnochanda filamentosa,24795,Teleostei,Ovalentaria/misc,Ambassidae
Parambassis apogonoides,24799,Teleostei,Ovalentaria/misc,Ambassidae
Parambassis wolffii,16235,Teleostei,Ovalentaria/misc,Ambassidae
Amblyceps foratum,60061,Teleostei,Siluriformes,Amblycipitidae
Anabas testudineus,495,Teleostei,Anabantiformes,Anabantidae
Anguilla bengalensis,1272,Teleostei,Anguilliformes,Anguillidae
Anguilla bicolor,1274,Teleostei,Anguilliformes,Anguillidae
Anguilla malgumora,5426,Teleostei,Anguilliformes,Anguillidae
Photoblepharon palpebratum,7185,Teleostei,Trachichthyiformes,Anomalopidae
Abantennarius coccineus,5402,Teleostei,Lophiiformes,Antennariidae
Antennarius hispidus,8074,Teleostei,Lophiiformes,Antennariidae
Antennarius striatus,5474,Teleostei,Lophiiformes,Antennariidae
Histrio histrio,3089,Teleostei,Lophiiformes,Antennariidae
Mirolabrichthys pascalus,6934,Teleostei,Perciformes/Serranoidei,Anthiadidae
Plectranthias jothyi,59844,Teleostei,Perciformes/Serranoidei,Anthiadidae
Pseudanthias randalli,6571,Teleostei,Perciformes/Serranoidei,Anthiadidae
Pyronotanthias lori,7456,Teleostei,Perciformes/Serranoidei,Anthiadidae
Pyronotanthias smithvanizi,7460,Teleostei,Perciformes/Serranoidei,Anthiadidae
Sayonara japonica,10577,Teleostei,Perciformes/Serranoidei,Anthiadidae
Apistus carinatus,6383,Teleostei,Perciformes/Scorpaenoidei,Apistidae
Cocotropus echinatus,59074,Teleostei,Perciformes/Scorpaenoidei,Aploactinidae
Aplocheilus panchax,4756,Teleostei,Cyprinodontiformes,Aplocheilidae
Apogon talboti,12906,Teleostei,Kurtiformes,Apogonidae
Apogonichthyoides melas,5749,Teleostei,Kurtiformes,Apogonidae
Apogonichthyoides niger,8232,Teleostei,Kurtiformes,Apogonidae
Apogonichthyoides pseudotaeniatus,26632,Teleostei,Kurtiformes,Apogonidae
Archamia bleekeri,60358,Teleostei,Kurtiformes,Apogonidae
Cheilodipterus alleni,12876,Teleostei,Kurtiformes,Apogonidae
Cheilodipterus isostigma,5779,Teleostei,Kurtiformes,Apogonidae
Cheilodipterus macrodon,5781,Teleostei,Kurtiformes,Apogonidae
Cheilodipterus singapurensis,5782,Teleostei,Kurtiformes,Apogonidae
Cheilodipterus zonatus,8591,Teleostei,Kurtiformes,Apogonidae
Fibramia amboinensis,7848,Teleostei,Kurtiformes,Apogonidae
Jaydia ellioti,5751,Teleostei,Kurtiformes,Apogonidae
Jaydia lineata,8231,Teleostei,Kurtiformes,Apogonidae
Nectamia bandanensis,5763,Teleostei,Kurtiformes,Apogonidae
Nectamia ignitops,63749,Teleostei,Kurtiformes,Apogonidae
Nectamia savayensis,5764,Teleostei,Kurtiformes,Apogonidae
Nectamia similis,63751,Teleostei,Kurtiformes,Apogonidae
Nectamia viria,63698,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus aroubiensis,61606,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus aureus,4837,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus cavitensis,25109,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus chrysopomus,58153,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus chrysotaenia,13003,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus compressus,5769,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus endekataenia,6524,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus fasciatus,6605,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus fleurieu,4838,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus griffini,50880,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus holotaenia,46445,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus kiensis,8230,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus margaritophorus,58156,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus moluccensis,8589,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus multilineatus,11619,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus nanus,25037,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus nigrocincta,10621,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus parvulus,23452,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus pleuron,63447,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus sealei,6230,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus urostigmus,60367,Teleostei,Kurtiformes,Apogonidae
Ostorhinchus wassinki,59184,Teleostei,Kurtiformes,Apogonidae
Pristicon rhodopterus,23455,Teleostei,Kurtiformes,Apogonidae
Pristicon trimaculatus,5748,Teleostei,Kurtiformes,Apogonidae
Pseudamia amblyuroptera,4361,Teleostei,Kurtiformes,Apogonidae
Pseudamia gelatinosa,4362,Teleostei,Kurtiformes,Apogonidae
Rhabdamia gracilis,5747,Teleostei,Kurtiformes,Apogonidae
Siphamia corallicola,25077,Teleostei,Kurtiformes,Apogonidae
Siphamia fuscolineata,5783,Teleostei,Kurtiformes,Apogonidae
Siphamia jebbi,25105,Teleostei,Kurtiformes,Apogonidae
Sphaeramia nematoptera,5778,Teleostei,Kurtiformes,Apogonidae
Taeniamia fucata,5776,Teleostei,Kurtiformes,Apogonidae
Taeniamia lineolata,7854,Teleostei,Kurtiformes,Apogonidae
Taeniamia macroptera,59188,Teleostei,Kurtiformes,Apogonidae
Taeniamia zosterophora,5777,Teleostei,Kurtiformes,Apogonidae
Verulux cypselurus,5746,Teleostei,Kurtiformes,Apogonidae
Yarica hyalosoma,8202,Teleostei,Kurtiformes,Apogonidae
Zoramia gilberti,5772,Teleostei,Kurtiformes,Apogonidae
Zoramia viridiventer,63424,Teleostei,Kurtiformes,Apogonidae
Arius macronotacanthus,51768,Teleostei,Siluriformes,Ariidae
Arius maculatus,1280,Teleostei,Siluriformes,Ariidae
Arius microcephalus,27403,Teleostei,Siluriformes,Ariidae
Arius subrostratus,1295,Teleostei,Siluriformes,Ariidae
Arius sumatranus,1296,Teleostei,Siluriformes,Ariidae
Arius venosus,1283,Teleostei,Siluriformes,Ariidae
Batrachocephalus mino,1298,Teleostei,Siluriformes,Ariidae
Cephalocassis borneensis,23390,Teleostei,Siluriformes,Ariidae
Cephalocassis melanochir,23387,Teleostei,Siluriformes,Ariidae
Cryptarius truncatus,23385,Teleostei,Siluriformes,Ariidae
Hemiarius harmandi,51766,Teleostei,Siluriformes,Ariidae
Hexanematichthys sagor,1281,Teleostei,Siluriformes,Ariidae
Ketengus typus,23392,Teleostei,Siluriformes,Ariidae
Kyataphisa caelata,1277,Teleostei,Siluriformes,Ariidae
Netuma thalassina,10220,Teleostei,Siluriformes,Ariidae
Osteogeneiosus militaris,1299,Teleostei,Siluriformes,Ariidae
Plicofollis argyropleuron,11739,Teleostei,Siluriformes,Ariidae
Plicofollis layardi,1297,Teleostei,Siluriformes,Ariidae
Plicofollis nella,23383,Teleostei,Siluriformes,Ariidae
Plicofollis tonggol,1286,Teleostei,Siluriformes,Ariidae
Pseudosciades sona,1294,Teleostei,Siluriformes,Ariidae
Ariomma indica,1300,Teleostei,Scombriformes,Ariommatidae
Ariomma lurida,8233,Teleostei,Scombriformes,Ariommatidae
Ateleopus japonicus,7281,Teleostei,Ateleopodiformes,Ateleopodidae
Atelomycterus marmoratus,4305,Elasmobranchii,Carcharhiniformes,Atelomycteridae
Atherinomorus lacunosus,1303,Teleostei,Atheriniformes,Atherinidae
Doboatherina aetholepis,59891,Teleostei,Atheriniformes,Atherinidae
Doboatherina valenciennei,15462,Teleostei,Atheriniformes,Atherinidae
Bagrichthys hypselopterus,11977,Teleostei,Siluriformes,Bagridae
Bagrichthys macracanthus,16161,Teleostei,Siluriformes,Bagridae
Bagrichthys macropterus,11978,Teleostei,Siluriformes,Bagridae
Bagroides melapterus,23052,Teleostei,Siluriformes,Bagridae
Batasio fluviatilis,65818,Teleostei,Siluriformes,Bagridae
Hemibagrus baramensis,23073,Teleostei,Siluriformes,Bagridae
Hemibagrus bongan,27391,Teleostei,Siluriformes,Bagridae
Hemibagrus chrysops,60726,Teleostei,Siluriformes,Bagridae
Hemibagrus divaricatus,66814,Teleostei,Siluriformes,Bagridae
Hemibagrus fortis,63085,Teleostei,Siluriformes,Bagridae
Hemibagrus furcatus,58052,Teleostei,Siluriformes,Bagridae
Hemibagrus gracilis,27257,Teleostei,Siluriformes,Bagridae
Hemibagrus hoevenii,27392,Teleostei,Siluriformes,Bagridae
Hemibagrus johorensis,63632,Teleostei,Siluriformes,Bagridae
Hemibagrus nemurus,5427,Teleostei,Siluriformes,Bagridae
Hemibagrus planiceps,23078,Teleostei,Siluriformes,Bagridae
Hemibagrus sabanus,23080,Teleostei,Siluriformes,Bagridae
Hemibagrus semotus,66812,Teleostei,Siluriformes,Bagridae
Hemibagrus wyckii,16107,Teleostei,Siluriformes,Bagridae
Hyalobagrus ornatus,23084,Teleostei,Siluriformes,Bagridae
Leiocassis collina,62756,Teleostei,Siluriformes,Bagridae
Leiocassis doriae,60729,Teleostei,Siluriformes,Bagridae
Leiocassis hosii,63086,Teleostei,Siluriformes,Bagridae
Leiocassis micropogon,25186,Teleostei,Siluriformes,Bagridae
Leiocassis poeciloptera,23066,Teleostei,Siluriformes,Bagridae
Leiocassis saravacensis,23069,Teleostei,Siluriformes,Bagridae
Mystus armiger,62077,Teleostei,Siluriformes,Bagridae
Mystus castaneus,60731,Teleostei,Siluriformes,Bagridae
Mystus cavasius,5140,Teleostei,Siluriformes,Bagridae
Mystus gulio,5139,Teleostei,Siluriformes,Bagridae
Mystus nigriceps,11990,Teleostei,Siluriformes,Bagridae
Mystus singaringan,16172,Teleostei,Siluriformes,Bagridae
Mystus vittatus,5137,Teleostei,Siluriformes,Bagridae
Mystus wolffii,23081,Teleostei,Siluriformes,Bagridae
Nanobagrus fuscus,23057,Teleostei,Siluriformes,Bagridae
Nanobagrus lemniscatus,65836,Teleostei,Siluriformes,Bagridae
Nanobagrus nebulosus,58041,Teleostei,Siluriformes,Bagridae
Pseudomystus fumosus,62152,Teleostei,Siluriformes,Bagridae
Pseudomystus inornatus,23059,Teleostei,Siluriformes,Bagridae
Pseudomystus leiacanthus,23060,Teleostei,Siluriformes,Bagridae
Pseudomystus nuchalis,71349,Teleostei,Siluriformes,Bagridae
Pseudomystus robustus,23067,Teleostei,Siluriformes,Bagridae
Pseudomystus stenomus,23071,Teleostei,Siluriformes,Bagridae
Pseudomystus tuberosus,70969,Teleostei,Siluriformes,Bagridae
Abalistes stellatus,9,Teleostei,Tetraodontiformes,Balistidae
Balistapus undulatus,6025,Teleostei,Tetraodontiformes,Balistidae
Melichthys vidua,5838,Teleostei,Tetraodontiformes,Balistidae
Odonus niger,1311,Teleostei,Tetraodontiformes,Balistidae
Pseudobalistes flavimarginatus,6027,Teleostei,Tetraodontiformes,Balistidae
Rhinecanthus verrucosus,6028,Teleostei,Tetraodontiformes,Balistidae
Sufflamen fraenatum,1312,Teleostei,Tetraodontiformes,Balistidae
Balitoropsis ophiolepis,22876,Teleostei,Cypriniformes,Balitoridae
Balitoropsis zollingeri,22967,Teleostei,Cypriniformes,Balitoridae
Homaloptera ogilviei,22875,Teleostei,Cypriniformes,Balitoridae
Homaloptera orthogoniata,22877,Teleostei,Cypriniformes,Balitoridae
Homaloptera parclitella,62218,Teleostei,Cypriniformes,Balitoridae
Homalopteroides avii,67732,Teleostei,Cypriniformes,Balitoridae
Homalopteroides nebulosus,22865,Teleostei,Cypriniformes,Balitoridae
Homalopteroides smithi,26829,Teleostei,Cypriniformes,Balitoridae
Homalopteroides stephensoni,22881,Teleostei,Cypriniformes,Balitoridae
Homalopteroides tweediei,22963,Teleostei,Cypriniformes,Balitoridae
Homalopteroides wassinkii,22965,Teleostei,Cypriniformes,Balitoridae
Neohomaloptera johorensis,22988,Teleostei,Cypriniformes,Balitoridae
Pseudohomaloptera leonardi,26825,Teleostei,Cypriniformes,Balitoridae
Pseudohomaloptera tatereganii,22883,Teleostei,Cypriniformes,Balitoridae
Barbucca diabolica,22696,Teleostei,Cypriniformes,Barbuccidae
Bathygadus spongiceps,47157,Teleostei,Gadiformes,Bathygadidae
Gadomus filamentosus,58887,Teleostei,Gadiformes,Bathygadidae
Allenbatrachus grunniens,6391,Teleostei,Batrachoidiformes,Batrachoididae
Allenbatrachus reticulatus,50449,Teleostei,Batrachoidiformes,Batrachoididae
Batrachomoeus trispinosus,10747,Teleostei,Batrachoidiformes,Batrachoididae
Ablennes hians,972,Teleostei,Beloniformes,Belonidae
Strongylura strongylura,1316,Teleostei,Beloniformes,Belonidae
Tylosurus crocodilus,977,Teleostei,Beloniformes,Belonidae
