species,speccode,class,order,family,acc_name,match_type,confidence,gbif_key,synonym_of
Acanthurus auranticavus,4748,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus auranticavus Randall, 1956",EXACT,99,5209158,
Acanthurus bariene,4307,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus bariene Lesson, 1831",EXACT,99,5209156,
Acanthurus japonicus,23375,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus japonicus (Schmidt, 1931)",EXACT,99,5209165,
Acanthurus lineatus,1258,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus lineatus (Linnaeus, 1758)",EXACT,99,5209244,
Acanthurus mata,1255,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus mata (Cuvier, 1829)",EXACT,99,5209204,
Acanthurus nigricans,6011,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus nigricans (Linnaeus, 1758)",EXACT,99,5209162,
Acanthurus nigricauda,4747,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus nigricauda Duncker & Mohr, 1929",EXACT,99,5209160,
Acanthurus nigrofuscus,4739,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus nigrofuscus (Forsskål, 1775)",EXACT,99,5209227,
Acanthurus olivaceus,4744,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus olivaceus Bloch & Schneider, 1801",EXACT,99,5209196,
Acanthurus triostegus,1260,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus triostegus (Linnaeus, 1758)",EXACT,99,5209217,
Acanthurus xanthopterus,1261,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus xanthopterus Valenciennes, 1835",EXACT,99,5209252,
Ctenochaetus binotatus,6012,Teleostei,Acanthuriformes,Acanthuridae,"Ctenochaetus binotatus Randall, 1955",EXACT,99,2379623,
Ctenochaetus cyanocheilus,59486,Teleostei,Acanthuriformes,Acanthuridae,"Ctenochaetus cyanocheilus Randall & Clements, 2001",EXACT,99,2379644,
Naso brachycentron,6020,Teleostei,Acanthuriformes,Acanthuridae,"Naso brachycentron (Valenciennes, 1835)",EXACT,99,5209101,
Naso brevirostris,6021,Teleostei,Acanthuriformes,Acanthuridae,"Naso brevirostris (Cuvier, 1829)",EXACT,97,9760005,
Naso hexacanthus,1263,Teleostei,Acanthuriformes,Acanthuridae,"Naso hexacanthus (Bleeker, 1855)",EXACT,99,5209121,
Naso lituratus,1264,Teleostei,Acanthuriformes,Acanthuridae,"Naso lituratus (Forster, 1801)",EXACT,99,5209096,
Naso lopezi,6022,Teleostei,Acanthuriformes,Acanthuridae,"Naso lopezi Herre, 1927",EXACT,99,5209118,
Naso thynnoides,6932,Teleostei,Acanthuriformes,Acanthuridae,"Naso thynnoides (Cuvier, 1829)",EXACT,99,9815142,
Naso tonganus,60076,Teleostei,Acanthuriformes,Acanthuridae,"Naso tonganus (Valenciennes, 1835)",EXACT,99,5209116,
Naso unicornis,1265,Teleostei,Acanthuriformes,Acanthuridae,"Naso unicornis (Forsskål, 1775)",EXACT,99,5209124,
